repo,arquivo,linhas,smell,quantidade
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#1_Ambiguous_literals,0
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#2_Order_dependancy,0
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#3_Identical_names,0
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#4_Standard_base_literals,0
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#5_Concat_arrayLiterals,0
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#6_Implicit_nettype,1
sandeepa0105/Single_Cycle_RISC-V_Processor,temp_repos/sandeepa0105__Single_Cycle_RISC-V_Processor/pc.sv,11,#7_Non_automatic_init,0
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#1_Ambiguous_literals,0
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#2_Order_dependancy,0
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#3_Identical_names,0
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#4_Standard_base_literals,0
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#5_Concat_arrayLiterals,0
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#6_Implicit_nettype,1
JPaulMora/NibblER,temp_repos/JPaulMora__NibblER/A.vh,12,#7_Non_automatic_init,0
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#1_Ambiguous_literals,0
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#2_Order_dependancy,0
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#3_Identical_names,0
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#4_Standard_base_literals,0
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#5_Concat_arrayLiterals,0
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#6_Implicit_nettype,1
Rhapsodier/HDLBits,temp_repos/Rhapsodier__HDLBits/Latches_And_Flip-Flops/2014q4b.sv,12,#7_Non_automatic_init,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#1_Ambiguous_literals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#2_Order_dependancy,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#3_Identical_names,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#4_Standard_base_literals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#5_Concat_arrayLiterals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#6_Implicit_nettype,1
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob028_m2014_q4a/Gen11/Prob028_m2014_q4a_C-F_sample3.sv,12,#7_Non_automatic_init,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#1_Ambiguous_literals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#2_Order_dependancy,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#3_Identical_names,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#4_Standard_base_literals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#5_Concat_arrayLiterals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#6_Implicit_nettype,1
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob052_gates100/Gen11/Prob052_gates100_M-S_sample3.sv,13,#7_Non_automatic_init,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#1_Ambiguous_literals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#2_Order_dependancy,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#3_Identical_names,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#4_Standard_base_literals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#5_Concat_arrayLiterals,0
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#6_Implicit_nettype,1
kmcho2019/REvolution,temp_repos/kmcho2019__REvolution/exp/llama3_clean_results/VerilogEval-Spec-to-RTL/Prob012_xnorgate/Gen10/Prob012_xnorgate_M-R_sample6.sv,13,#7_Non_automatic_init,0
Tiquillo/ldelgado_computer_architecture_1_2024_s2,temp_repos/Tiquillo__ldelgado_computer_architecture_1_2024_s2/procesador/clockDivider.sv,13,#1_Ambiguous_literals,0
Tiquillo/ldelgado_computer_architecture_1_2024_s2,temp_repos/Tiquillo__ldelgado_computer_architecture_1_2024_s2/procesador/clockDivider.sv,13,#2_Order_dependancy,0
Tiquillo/ldelgado_computer_architecture_1_2024_s2,temp_repos/Tiquillo__ldelgado_computer_architecture_1_2024_s2/procesador/clockDivider.sv,13,#3_Identical_names,0
Tiquillo/ldelgado_computer_architecture_1_2024_s2,temp_repos/Tiquillo__ldelgado_computer_architecture_1_2024_s2/procesador/clockDivider.sv,13,#4_Standard_base_literals,0
Tiquillo/ldelgado_computer_architecture_1_2024_s2,temp_repos/Tiquillo__ldelgado_computer_architecture_1_2024_s2/procesador/clockDivider.sv,13,#5_Concat_arrayLiterals,0
