repo,#1_Ambiguous_literals,#2_Order_dependancy,#3_Identical_names,#4_Standard_base_literals,#5_Concat_arrayLiterals,#6_Implicit_nettype,#7_Non_automatic_init
MiSTer-devel/GnW_MiSTer,3,0,52,0,2,1,0
UCLONG/NetEmulation,0,0,28,0,1,1,0
ironsteel/nes_ecp5,0,8,46,0,24,1,0
ameetgohil/elastic-buffer,0,0,0,0,0,1,0
dsheffie/rv64core,0,0,4,0,58,1,0
mist-devel/ql,0,0,65,0,0,1,0
ElectronAsh/psx_gpu_test,2,0,76,0,1,1,0
NazerkeT/MultilevelTLB,7,0,0,0,4,1,0
ForwardCom/softcoreA,0,0,71,0,0,1,0
yujixr/r2rv,0,0,0,0,0,1,0
GeorgeSangillo/ARM-Single-Cycle-Processor,0,2,0,12,0,1,0
benreese0/ECPE174FinalProject,0,0,0,6,0,1,0
harbaum/ikbd,0,0,0,0,1,1,0
Jin-zd/NSCSCC2024,0,0,18,0,2,1,0
dabridgham/KV10,0,0,0,0,0,1,0
abdo1819/fpu,0,3,0,0,0,1,0
SaiVineethKalluruSrinivas/Reorder-buffer-4-way-O3-CPU-verilog,0,0,0,0,268,1,0
JPaulMora/NibblER,0,0,0,0,0,1,0
karthik-0398/picoMIPS,0,0,0,0,0,1,0
kiryk/l8,0,0,2,0,30,1,0
ZPNMiaoHeng/tinyriscv_v,0,0,97,0,31,4,0
ftqtfff/TimingFunctionVerification,0,0,0,0,0,1,0
wele0612/Kaiserlake,0,0,0,0,33,1,0
rculbertson88/Mister64,4,0,34,0,0,1,0
SarahToscano/MIPS32,0,0,0,0,0,2,0
jvorob/cse502,0,0,0,0,6,2,1
raparici/C64_MiSTer_DEV,3,0,92,12,0,1,0
m7md5303/Ultrasonic-zynq7000-based-system,0,0,6,16,0,1,0
BHa2R00/uart_interface,0,0,0,4,0,2,0
BHa2R00/rtl_notes,0,0,22,2,0,4,0
qqn2/fsm_example,0,0,0,104,0,1,4
tommy73594/SNN,0,0,4,60,0,2,0
2011eric/DCLAB-Final,0,0,14,0,19,2,0
Kavi91/16-bit_Processor_Core,18,0,0,3,4,4,0
luqeei1/Lab4-Group23,0,0,0,0,0,1,0
udit-gupta/cse502,0,0,0,14,0,1,0
KarthikeyaSharma16/Systolic-accelerator,0,0,4,0,0,1,0
yxhong-tw/Check-in-and-Pickup,0,0,16,0,0,1,0
berkarslanpencesi/MultiCycleRiscV,0,0,0,0,0,1,0
Sash-github-account/32b_MIPS_CPU,0,0,0,0,2,1,0
ItsSriRamRahul/TransformerTPU,0,0,0,0,0,1,0
marcadrian20/Matrix_Multiplier_Systolic,2,0,0,0,3,1,0
yacoub-john/SmartHomeSystem,0,0,0,0,0,1,0
luisjo81/CE4301-ProyectoGrupal1,0,0,0,0,0,1,0
ricktruong/X9-Architecture,1,0,0,0,0,1,0
RMezSa/RV32I-VERILOG,0,0,0,0,0,1,0
JesalMP/Risc-V-32BIT-Dual-Core,0,0,11,0,0,2,0
BHa2R00/cpu,0,0,43,48,14,3,0
HasanZarook/RISCV_Pipeline_Architecture,0,0,0,0,0,1,0
clo34/Digital-Audio-Signal-Processing-System,0,0,0,0,0,1,0
Peter-Herrmann/Lucid64,0,0,0,0,0,1,0
MSakib2001/Knight-bot,0,0,0,0,10,1,0
Kitrinx/GBA_MiSTer_archive,3,0,31,3,0,1,0
Kitrinx/GBA_MiSTer-_OLD,4,0,49,0,0,1,0
jaycordaro/Basic-MAX10-FPGA-project,0,0,0,0,0,1,0
b-dmitry1/riscv,0,0,0,0,0,1,0
ProyectosCE/CE3201_PF,0,0,15,0,0,1,0
CPEN-391-TEAM-7/RNN_Accelerator,0,0,0,1,3,1,0
shantanu5092/Network-on-Chip-NOC-,0,0,0,1,11,1,0
Tbthanh/trafficlight-with-systemverilog,0,0,0,10,0,1,0
BHa2R00/rsa,0,0,8,4,0,1,0
MSakib2001/Buck-Buck-Go,0,0,2,0,2,1,0
S0UN/CompArch---prog-8,0,0,8,0,2,1,4
sandeepa0105/Single_Cycle_RISC-V_Processor,0,0,0,0,0,1,0
jiegec/GuGuMIPS,0,0,0,0,29,1,0
CroosJJSE/RISC_V_NON-pipelined-processor,0,0,0,0,0,1,0
Hotwater17/SvarogSoC,0,0,0,0,0,1,0
aksyristos/Pulpinorepo,1,0,11,0,0,1,0
lzk2023/MHA,0,0,0,0,0,1,0
pasiramavishan/RISCV-Pipeline-Processor,0,0,0,0,0,1,0
peterwudi/isp,1,0,0,15,0,1,0
kolarfpga-dev/Design,0,0,0,0,0,1,14
arkeks/SPI_fpga,0,0,0,0,0,2,0
Alerodcas/ArregloSist-licoNPU,3,0,0,0,0,1,0
dannym49/Calpoly-CPE233,0,0,0,0,0,1,0
roscibely/SAP1-computer,0,0,0,0,1,1,0
themaheerahkhalid/Single_Cycle_Riscv_Architecture,0,0,0,0,0,1,0
takanori2003/Verilog-CPU,0,0,0,0,14,1,0
7174Andy/CSE-141L-Project,1,0,0,0,0,1,0
Raa-23/GPU,0,0,0,0,0,1,0
farazch1/RISC-V_3_Stage_pipelined_processor_design,0,0,0,0,0,1,0
JyresaMae/FPGA,0,2,0,12,0,1,0
