repositório,url,arquivos
stratoes/FPGA-edge_detect,https://github.com/stratoes/FPGA-edge_detect,Or.v
gabrieltinsley/final-ECE230L,https://github.com/gabrieltinsley/final-ECE230L,OR.v
Unknown-Geek/Digital_Lab,https://github.com/Unknown-Geek/Digital_Lab,or.v
taoyilee/clacc,https://github.com/taoyilee/clacc,ha.v
jamesbowman/gd3x-dazzler,https://github.com/jamesbowman/gd3x-dazzler,j1.v
affeldt-aist/coq-robot,https://github.com/affeldt-aist/coq-robot,dh.v
aedrax/nandy1000,https://github.com/aedrax/nandy1000,Or.v
anjalish05/VLSI-Design-2021,https://github.com/anjalish05/VLSI-Design-2021,or.v
BafS/hn-top,https://github.com/BafS/hn-top,hn.v
merldsu/RISCV_Single_Cycle_Core,https://github.com/merldsu/RISCV_Single_Cycle_Core,src/PC.v
TheMockingJay1013/RISC_processor,https://github.com/TheMockingJay1013/RISC_processor,OR.v
heades/System-F-Coq,https://github.com/heades/System-F-Coq,F.v
nord501/pe.v,https://github.com/nord501/pe.v,pe.v
takeshineshiro/fpga_linear_128,https://github.com/takeshineshiro/fpga_linear_128,lf.v
larpon/vab-sdl,https://github.com/larpon/vab-sdl,v.v
fredrequin/verilator_gowin,https://github.com/fredrequin/verilator_gowin,DP.v
paulohrpinheiro/vbf,https://github.com/paulohrpinheiro/vbf,bf.v
jianglinjieGD/multicycle-CPU,https://github.com/jianglinjieGD/multicycle-CPU,CU.v
Icenowy/ice-risc,https://github.com/Icenowy/ice-risc,pc.v
Team-Resurgent/LPC-Mangler,https://github.com/Team-Resurgent/LPC-Mangler,UART/tb.v
marcosantos98/v8,https://github.com/marcosantos98/v8,v8.v
yuhao/x86-core,https://github.com/yuhao/x86-core,fd.v
letouzey/hofstadter_g,https://github.com/letouzey/hofstadter_g,F5.v; Mu.v; F3.v
fluctlight001/Nova132,https://github.com/fluctlight001/Nova132,ID.v
rocq-archive/tait,https://github.com/rocq-archive/tait,WN.v; nc.v
jarlg/Yoneda-Ext,https://github.com/jarlg/Yoneda-Ext,ES.v
herd/CoqCat,https://github.com/herd/CoqCat,sc.v
dgrewal94/qs,https://github.com/dgrewal94/qs,qs.v
pa-m/iq,https://github.com/pa-m/iq,iq.v
gechandesu/vd,https://github.com/gechandesu/vd,vd.v
kevinchang73/108-2DSD_Final_Project,https://github.com/kevinchang73/108-2DSD_Final_Project,IF.v
GU-CLASP/FraCoq,https://github.com/GU-CLASP/FraCoq,MS.v
yyNoBug/RISCV-CPU,https://github.com/yyNoBug/RISCV-CPU,id.v; Submit FPGA version/id.v
bfpg/software-foundations,https://github.com/bfpg/software-foundations,sf/PE.v
somethingnew2-0/CS552-CPU,https://github.com/somethingnew2-0/CS552-CPU,ID.v; RoadRunner/off_by_one.tar.gz_extracted/ID.v
junjuew/looper,https://github.com/junjuew/looper,is.v
mark-koch/firstorder-proof-mode,https://github.com/mark-koch/firstorder-proof-mode,PA.v
kingsleyh/axentro-x-miner,https://github.com/kingsleyh/axentro-x-miner,t.v
Kyxie/CPU,https://github.com/Kyxie/CPU,ir.v
a1exwang/lets-write-a-cpu-from-scratch,https://github.com/a1exwang/lets-write-a-cpu-from-scratch,id.v
mithro/vlsiffra-hdl-library,https://github.com/mithro/vlsiffra-hdl-library,bb.v
HarborYuan/MIPS-PipePlus,https://github.com/HarborYuan/MIPS-PipePlus,RF.v
lui-dias/vutils,https://github.com/lui-dias/vutils,ui.v
bagnalla/zar,https://github.com/bagnalla/zar,eR.v
minhna1112/RISC-V-SingleCycle,https://github.com/minhna1112/RISC-V-SingleCycle,if.v; ex.v
ZFXS55/FIR-filter-based-on-the-FPGA,https://github.com/ZFXS55/FIR-filter-based-on-the-FPGA,AD.v
codyps/wimax_ofdm,https://github.com/codyps/wimax_ofdm,cp.v; gf.v
DasNaCl/csc,https://github.com/DasNaCl/csc,L.v
dipsubhro/VerilogFiles,https://github.com/dipsubhro/VerilogFiles,vv.v
harp-project/FOL-in-ML,https://github.com/harp-project/FOL-in-ML,PA.v
Aqwyh123/LA32R-Core,https://github.com/Aqwyh123/LA32R-Core,ID.v
yzy0704YZY/MIPS32-CPU-with-L1Cache-Design,https://github.com/yzy0704YZY/MIPS32-CPU-with-L1Cache-Design,EX.v; ID.v
MonrenZheng/-RISCV-CPU-Cache-,https://github.com/MonrenZheng/-RISCV-CPU-Cache-,IF.v
petezhaa/CombforMLFPGA,https://github.com/petezhaa/CombforMLFPGA,func_mux4.sv
sophiakrugler/ee454-final-project,https://github.com/sophiakrugler/ee454-final-project,fc.v
EatonL/gaussfilter_FPGA,https://github.com/EatonL/gaussfilter_FPGA,D.v; O.v
bagnalla/algco,https://github.com/bagnalla/algco,eR.v
bergwerf/settheory,https://github.com/bergwerf/settheory,d.v; zf.v
clh910936/ece350_processor,https://github.com/clh910936/ece350_processor,c.v
shun7b/NSL_OV7670,https://github.com/shun7b/NSL_OV7670,G.v; B.v; R.v
StructuredObjects/YoGuide,https://github.com/StructuredObjects/YoGuide,t.v
shun7b/NSL_CAR_UART_CAMERA_Jpeg,https://github.com/shun7b/NSL_CAR_UART_CAMERA_Jpeg,B.v; R.v; G.v; R1.v
spaceface777/viano,https://github.com/spaceface777/viano,ui.v
ishanyaa/Digital_Circuits_and_Systems,https://github.com/ishanyaa/Digital_Circuits_and_Systems,fs.v; FA.v; d3.v
bbnoir/simple_processor,https://github.com/bbnoir/simple_processor,SP.v
NathanJepson/SimpleCPU,https://github.com/NathanJepson/SimpleCPU,FD.v
trinhgiahuy/AI-Accelerator-for-LLM,https://github.com/trinhgiahuy/AI-Accelerator-for-LLM,PE.v
sharukhhasan/SISC_Processor,https://github.com/sharukhhasan/SISC_Processor,br.v
Vjnhere/verilog,https://github.com/Vjnhere/verilog,FS.v
yisus82/fic-md2,https://github.com/yisus82/fic-md2,md.v
jn555/Verified-DMA,https://github.com/jn555/Verified-DMA,io.v
Jellyfish1102/Final-Project-CPU,https://github.com/Jellyfish1102/Final-Project-CPU,FA.v
InnovativeInventor/tree-logics,https://github.com/InnovativeInventor/tree-logics,sl.v
LN57421/CS202-CPU-Design,https://github.com/LN57421/CS202-CPU-Design,In.v
HectorLMF/P1-Estructuras---ALU-verilog,https://github.com/HectorLMF/P1-Estructuras---ALU-verilog,cl.v
ashash126/riscv_project,https://github.com/ashash126/riscv_project,id.v
daddydembla007/Ring-Oscillator-PUF,https://github.com/daddydembla007/Ring-Oscillator-PUF,RO.v
SouthernPark/ECE_550_project,https://github.com/SouthernPark/ECE_550_project,fa.v
mzp/GC,https://github.com/mzp/GC,GC.v
thais-laura/Sistemas-Digitais,https://github.com/thais-laura/Sistemas-Digitais,BN.v
RanaMagdy20/Pipeline,https://github.com/RanaMagdy20/Pipeline,RF.v
Ayyappa1911/iiitb_sysarray,https://github.com/Ayyappa1911/iiitb_sysarray,PE.v
eltsai/32bit-MIPS-CPU,https://github.com/eltsai/32bit-MIPS-CPU,IF.v
Sharanteja12/High-Speed-64-Bit-Vedic-Multplier,https://github.com/Sharanteja12/High-Speed-64-Bit-Vedic-Multplier,fa.v
coherent17/Single-Cycle-MIPS-CPU,https://github.com/coherent17/Single-Cycle-MIPS-CPU,SP.v
bobbae/examples-2021,https://github.com/bobbae/examples-2021,V/hn.v; V/hn-top/hn.v
bobbae/ex1,https://github.com/bobbae/ex1,hn.v
Varunkumar0610/RISC-V-Single-Cycle-Core,https://github.com/Varunkumar0610/RISC-V-Single-Cycle-Core,src/PC.v
gareththomasnz/RISCV_Single_Cycle_Core,https://github.com/gareththomasnz/RISCV_Single_Cycle_Core,src/PC.v
Ishan2510/Design-of-32-bit-RISC-V-processor,https://github.com/Ishan2510/Design-of-32-bit-RISC-V-processor,PC.v
Nagendra-vnb/RISC_V_SINGLE_CYCLE_CORE_MICROARCHITECHTURE,https://github.com/Nagendra-vnb/RISC_V_SINGLE_CYCLE_CORE_MICROARCHITECHTURE,Src/PC.v
Kshitij-21/RISC-Processor,https://github.com/Kshitij-21/RISC-Processor,OR.v
takeshineshiro/utrasound_mobile_fpga,https://github.com/takeshineshiro/utrasound_mobile_fpga,lf.v
takeshineshiro/utrasound_fpga_modelsim,https://github.com/takeshineshiro/utrasound_fpga_modelsim,fpga_sim/src/lf.v; fpga_sim/src_rec/lf.v
lkundrak/lpc-uart,https://github.com/lkundrak/lpc-uart,tb.v
Wellshh/RISC-V-CPU,https://github.com/Wellshh/RISC-V-CPU,id.v; Submit FPGA version/id.v
The-Wallfacer-Plan/coqL,https://github.com/The-Wallfacer-Plan/coqL,sf/PE.v
clh910936/alu,https://github.com/clh910936/alu,c.v
SouthernPark/ECE_550_recitation,https://github.com/SouthernPark/ECE_550_recitation,recitation5/fa.v; recitation3/fa.v
vlang/v,https://github.com/vlang/v,cmd/tools/modules/testing/output_normal.v
SymbioticEDA/riscv-formal,https://github.com/SymbioticEDA/riscv-formal,insns/insn_ori.v
BlockstreamResearch/simplicity,https://github.com/BlockstreamResearch/simplicity,Coq/Simplicity/StaticAnalysis.v
L1AS/ELEC374,https://github.com/L1AS/ELEC374,Phase1/laboratory_project_phase1/Testbenches/or_tb.v
ChFrenkel/tinyODIN,https://github.com/ChFrenkel/tinyODIN,synaptic_core.v
rems-project/coq-sail,https://github.com/rems-project/coq-sail,src/State.v
GideonZ/1541ultimate,https://github.com/GideonZ/1541ultimate,fpga/nios_c5/nios/synthesis/submodules/alt_mem_ddrx_ecc_decoder.v
melt-umn/silver,https://github.com/melt-umn/silver,grammars/silver/compiler/driver/util/Compilation.sv; grammars/silver/compiler/analysis/typechecking/core/Checking.sv
thomasrussellmurphy/stx_cookbook,https://github.com/thomasrussellmurphy/stx_cookbook,crc/crc16_dat24.v
pConst/basic_verilog,https://github.com/pConst/basic_verilog,soft_latch_tb.sv
formal-land/coq-of-rust,https://github.com/formal-land/coq-of-rust,CoqOfRust/legacy/plonky3/commit_539bbc84/util/transpose.v
mashnoor/iccd-competition-claude-code,https://github.com/mashnoor/iccd-competition-claude-code,task2/sequence_detector.sv
mgtm98/pcie5_phy,https://github.com/mgtm98/pcie5_phy,rtl/OS_Checker.v
SJTU-PLV/nominal-compcert-popl22-artifact,https://github.com/SJTU-PLV/nominal-compcert-popl22-artifact,Nominal-CompCert-Struct-Memspace/backend/Cminor.v
tearflake/symbolverse,https://github.com/tearflake/symbolverse,examples/natnum.sv
ToNi3141/RasterIX,https://github.com/ToNi3141/RasterIX,rtl/top/Xilinx/CmodA7/AsyncSramController.v
ryanmacdonald/Ray-Tracing-GPU,https://github.com/ryanmacdonald/Ray-Tracing-GPU,PERIPHERALS/xmodem.sv; RAYTRACER/caches/cache.sv
e-trees/fpga_virtio_devices,https://github.com/e-trees/fpga_virtio_devices,nicdevmmio/nicprocessor_recv.v
rocq-community/gaia,https://github.com/rocq-community/gaia,theories/numbers/ssetq1.v
MiSTer-devel/CoCo3_MiSTer,https://github.com/MiSTer-devel/CoCo3_MiSTer,rtl/pll.v
sophiaIC/HolisticSpecifications,https://github.com/sophiaIC/HolisticSpecifications,Rocq/Coq/expose_decoupled.v
lac-dcc/chimera,https://github.com/lac-dcc/chimera,database/43177_riscv-cpu_src_pipeline_regs_q4q5.v; database/37160_micro_benchmark_dsp_dspfilters_rtl_boxcar.v; database/16702_ReCkt_fault_resilient_circuits_adders_unsigned_4_bit_pareto_area_addr4u_area_47.v; database/19498_SparkRoad-V_demo_13_EG4S20withM0_M0_IPCore_AT510-MN-80001-r2p0-00rel0_smm_common_verilog_pl022_ssp_verilog_SspRxFIFO.v; sample_database/43177_riscv-cpu_src_pipeline_regs_q4q5.v; sample_database/37160_micro_benchmark_dsp_dspfilters_rtl_boxcar.v; database/19773_SparkRoad-V_demo_v_5_6_13_EG4S20withM0_M0_IPCore_AT510-MN-80001-r2p0-00rel0_smm_common_verilog_pl022_ssp_verilog_SspRxFIFO.v; database/31758_ivtest_ivltests_land2.v
google/globalfoundries-pdk-libs-gf180mcu_fd_sc_mcu9t5v0,https://github.com/google/globalfoundries-pdk-libs-gf180mcu_fd_sc_mcu9t5v0,cells/inv/gf180mcu_fd_sc_mcu9t5v0__inv_1.functional.pp.v
khushikri1398/AI-Algorithm-for-Predicting-Combinational-Logic-Depth-in-RTL-Designs,https://github.com/khushikri1398/AI-Algorithm-for-Predicting-Combinational-Logic-Depth-in-RTL-Designs,rtl_dataset/rtl/processor_datapath_0037.v
NicolaLino/Pipelined-Processor,https://github.com/NicolaLino/Pipelined-Processor,DataMemory.sv
TAPR/OpenHPSDR-SVN,https://github.com/TAPR/OpenHPSDR-SVN,Metis/Source/Archive/Metis_V2.5/common/OneWire_xmit.v; Metis/Source/Archive/Metis_V2.2/common/OneWire_xmit.v; Metis/Source/Archive/Metis_V1.4/common/OneWire_xmit.v; Metis/Source/Archive/Metis_V1.8/common/OneWire_xmit.v; Metis/Source/Archive/Metis_V1.3/common/OneWire_xmit.v
mksaksms/100RTL,https://github.com/mksaksms/100RTL,67_PWM/PWM.v
michg/pyocdriscv32,https://github.com/michg/pyocdriscv32,pulp/ips/riscv-dbg/src/dm_pkg.sv
AnthonyVDeCaria/ECE496-FPGA_BlueTooth_App,https://github.com/AnthonyVDeCaria/ECE496-FPGA_BlueTooth_App,Verilog/UART_tx.v
sudgy/math-from-nothing,https://github.com/sudgy/math-from-nothing,src/Topology/topology_order.v
cyyself/cpu232,https://github.com/cyyself/cpu232,defines.vh
tymmym/software-foundations,https://github.com/tymmym/software-foundations,Hoare.v
The-OpenROAD-Project/alpha-release,https://github.com/The-OpenROAD-Project/alpha-release,flow/designs/src/dynamic_node/design.v
comsec-group/cellift-opentitan,https://github.com/comsec-group/cellift-opentitan,hw/dv/sv/cip_lib/cip_base_scoreboard.sv
eliotw/IBM_PC,https://github.com/eliotw/IBM_PC,pc/ibmpc/ipcore_dir/penaltybox/ramcore_synth.v; components/ram/ramcore/ipcore_dir/ramcore_synth.v; components/ram/ramcore/ipcore_dir/isolationbooth/ramcore_synth.v
bweisnicht/ECE554,https://github.com/bweisnicht/ECE554,Processor/alu_with_logic.v
klausnat/coq-of-llvmir,https://github.com/klausnat/coq-of-llvmir,examples/CoqOfLLVM.v
Royfor12/CQUT-Course-Guide-Sharing-Scheme,https://github.com/Royfor12/CQUT-Course-Guide-Sharing-Scheme,课程目录/FPGA/小脚丫开发板资料/Hardware-based Music Performing Circuit Project/db/pll20_altpll.v
Hanley-Yao/Zynq7010_eink_controller,https://github.com/Hanley-Yao/Zynq7010_eink_controller,controller/Eink_controller_V1.0/Eink_controller_V1.0.ip_user_files/bd/ps_system/ip/ps_system_auto_pc_0/sim/ps_system_auto_pc_0.v
yuxguo/USTC-ComputerArchitecture-2020S,https://github.com/yuxguo/USTC-ComputerArchitecture-2020S,Lab4/Lab4/Lab4.srcs/sources_1/new/BTB.v
jsaussereau/AsteRISC-rtl,https://github.com/jsaussereau/AsteRISC-rtl,rtl/soc/peripherals/perif_spi_slave.sv
UNO-NULLify/eCTF20,https://github.com/UNO-NULLify/eCTF20,pl/repo/cache/2017.4/13830b6b922cfb15/system_data_lmb_bram_if_cntlr_1_0_stub.v
kate-omi/MathAlarmClock,https://github.com/kate-omi/MathAlarmClock,vga_adapter.v
LampaLab/iota_fpga,https://github.com/LampaLab/iota_fpga,pow_accel_soc/hardware/soc_system/synthesis/submodules/soc_system_hps_0.v; curl_accel_soc/hardware/soc_system/synthesis/submodules/soc_system_hps_0.v
nguyendaithien/CPU_5stage_pipeline,https://github.com/nguyendaithien/CPU_5stage_pipeline,tb/pkg_1.sv
rayhan-shhadeh/VLSI-Design-Verification,https://github.com/rayhan-shhadeh/VLSI-Design-Verification,Exercise4/ex4.sv
stanford-ppl/spatial,https://github.com/stanford-ppl/spatial,resources/synth/arria10.hw-resources/build/ip/ghrd_10as066n2/ghrd_10as066n2_f2sdram2_m/timing_adapter_171/synth/ghrd_10as066n2_f2sdram2_m_timing_adapter_171_xf5weri.sv
osafune/peridot_peripherals,https://github.com/osafune/peridot_peripherals,ip/peridot_ethio/hdl/peridot_ethio.v
kyzhai/NUNY,https://github.com/kyzhai/NUNY,src/hardware/eight_new2_bb.v
MuddasirAttar/AXI4_lite_project,https://github.com/MuddasirAttar/AXI4_lite_project,AXI4_Lite/axi4_lite_slave.sv; AXI4_Lite/More_transaction_tb/AXI4_Lite/axi4_lite_slave.sv
