repo,arquivo,smell,quantidade
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#1_Ambiguous_literals,0
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#2_Order_dependancy,0
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#3_Identical_names,0
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#4_Standard_base_literals,0
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#5_Concat_arrayLiterals,0
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#6_Implicit_nettype,1
aedrax/nandy1000,temp_repos/aedrax__nandy1000/Or.v,#7_Non_automatic_init,0
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#1_Ambiguous_literals,0
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#2_Order_dependancy,0
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#3_Identical_names,0
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#4_Standard_base_literals,0
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#5_Concat_arrayLiterals,0
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#6_Implicit_nettype,1
merldsu/RISCV_Single_Cycle_Core,temp_repos/merldsu__RISCV_Single_Cycle_Core/src/PC.v,#7_Non_automatic_init,0
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#1_Ambiguous_literals,0
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#2_Order_dependancy,0
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#3_Identical_names,10
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#4_Standard_base_literals,0
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#5_Concat_arrayLiterals,0
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#6_Implicit_nettype,1
takeshineshiro/fpga_linear_128,temp_repos/takeshineshiro__fpga_linear_128/lf.v,#7_Non_automatic_init,0
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#1_Ambiguous_literals,0
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#2_Order_dependancy,1
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#3_Identical_names,0
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#4_Standard_base_literals,0
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#5_Concat_arrayLiterals,0
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#6_Implicit_nettype,1
Team-Resurgent/LPC-Mangler,temp_repos/Team-Resurgent__LPC-Mangler/UART/tb.v,#7_Non_automatic_init,0
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#1_Ambiguous_literals,0
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#2_Order_dependancy,0
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#3_Identical_names,0
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#4_Standard_base_literals,0
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#5_Concat_arrayLiterals,27
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#6_Implicit_nettype,1
yyNoBug/RISCV-CPU,temp_repos/yyNoBug__RISCV-CPU/Submit FPGA version/id.v,#7_Non_automatic_init,0
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#1_Ambiguous_literals,0
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#2_Order_dependancy,0
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#3_Identical_names,0
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#4_Standard_base_literals,0
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#5_Concat_arrayLiterals,0
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#6_Implicit_nettype,1
minhna1112/RISC-V-SingleCycle,temp_repos/minhna1112__RISC-V-SingleCycle/if.v,#7_Non_automatic_init,0
Aqwyh123/LA32R-Core,temp_repos/Aqwyh123__LA32R-Core/ID.v,#1_Ambiguous_literals,0
Aqwyh123/LA32R-Core,temp_repos/Aqwyh123__LA32R-Core/ID.v,#2_Order_dependancy,0
Aqwyh123/LA32R-Core,temp_repos/Aqwyh123__LA32R-Core/ID.v,#3_Identical_names,0
Aqwyh123/LA32R-Core,temp_repos/Aqwyh123__LA32R-Core/ID.v,#4_Standard_base_literals,0
Aqwyh123/LA32R-Core,temp_repos/Aqwyh123__LA32R-Core/ID.v,#5_Concat_arrayLiterals,2
Aqwyh123/LA32R-Core,temp_repos/Aqwyh123__LA32R-Core/ID.v,#6_Implicit_nettype,1
