repo,#1_Ambiguous_literals,#2_Order_dependancy,#3_Identical_names,#4_Standard_base_literals,#5_Concat_arrayLiterals,#6_Implicit_nettype,#7_Non_automatic_init
stratoes/FPGA-edge_detect,0,0,0,0,0,0,0
gabrieltinsley/final-ECE230L,0,0,0,0,0,0,0
Unknown-Geek/Digital_Lab,0,0,0,0,0,0,0
taoyilee/clacc,0,0,0,0,0,0,0
jamesbowman/gd3x-dazzler,0,0,0,0,0,0,0
affeldt-aist/coq-robot,0,0,0,0,0,0,0
aedrax/nandy1000,0,0,0,0,0,1,0
anjalish05/VLSI-Design-2021,0,0,0,0,0,0,0
BafS/hn-top,0,0,0,0,0,0,0
merldsu/RISCV_Single_Cycle_Core,0,0,0,0,0,1,0
TheMockingJay1013/RISC_processor,0,0,0,0,0,0,0
heades/System-F-Coq,0,0,0,0,0,0,0
nord501/pe.v,0,0,0,0,0,0,0
takeshineshiro/fpga_linear_128,0,0,10,0,0,1,0
larpon/vab-sdl,0,0,0,0,0,0,0
fredrequin/verilator_gowin,0,0,0,0,0,0,0
paulohrpinheiro/vbf,0,0,0,0,0,0,0
jianglinjieGD/multicycle-CPU,0,0,0,0,0,0,0
Icenowy/ice-risc,0,0,0,0,0,0,0
Team-Resurgent/LPC-Mangler,0,1,0,0,0,1,0
marcosantos98/v8,0,0,0,0,0,0,0
yuhao/x86-core,0,0,0,0,0,0,0
letouzey/hofstadter_g,0,0,0,0,0,0,0
fluctlight001/Nova132,0,0,0,0,0,0,0
rocq-archive/tait,0,0,0,0,0,0,0
jarlg/Yoneda-Ext,0,0,0,0,0,0,0
herd/CoqCat,0,0,0,0,0,0,0
dgrewal94/qs,0,0,0,0,0,0,0
pa-m/iq,0,0,0,0,0,0,0
gechandesu/vd,0,0,0,0,0,0,0
kevinchang73/108-2DSD_Final_Project,0,0,0,0,0,0,0
GU-CLASP/FraCoq,0,0,0,0,0,0,0
yyNoBug/RISCV-CPU,0,0,0,0,27,1,0
bfpg/software-foundations,0,0,0,0,0,0,0
somethingnew2-0/CS552-CPU,0,0,0,0,0,0,0
junjuew/looper,0,0,0,0,0,0,0
mark-koch/firstorder-proof-mode,0,0,0,0,0,0,0
kingsleyh/axentro-x-miner,0,0,0,0,0,0,0
Kyxie/CPU,0,0,0,0,0,0,0
a1exwang/lets-write-a-cpu-from-scratch,0,0,0,0,0,0,0
mithro/vlsiffra-hdl-library,0,0,0,0,0,0,0
HarborYuan/MIPS-PipePlus,0,0,0,0,0,0,0
lui-dias/vutils,0,0,0,0,0,0,0
bagnalla/zar,0,0,0,0,0,0,0
minhna1112/RISC-V-SingleCycle,0,0,0,0,0,1,0
ZFXS55/FIR-filter-based-on-the-FPGA,0,0,0,0,0,0,0
codyps/wimax_ofdm,0,0,0,0,0,0,0
DasNaCl/csc,0,0,0,0,0,0,0
dipsubhro/VerilogFiles,0,0,0,0,0,0,0
harp-project/FOL-in-ML,0,0,0,0,0,0,0
Aqwyh123/LA32R-Core,0,0,0,0,2,1,0
yzy0704YZY/MIPS32-CPU-with-L1Cache-Design,0,0,0,0,0,0,0
MonrenZheng/-RISCV-CPU-Cache-,0,0,0,0,0,0,0
petezhaa/CombforMLFPGA,0,0,0,0,4,1,0
sophiakrugler/ee454-final-project,0,0,0,0,0,0,0
EatonL/gaussfilter_FPGA,0,0,0,0,0,1,0
bagnalla/algco,0,0,0,0,0,0,0
bergwerf/settheory,0,0,0,0,0,0,0
clh910936/ece350_processor,0,0,0,0,0,0,0
shun7b/NSL_OV7670,0,0,0,0,0,2,0
StructuredObjects/YoGuide,0,0,0,0,0,0,0
shun7b/NSL_CAR_UART_CAMERA_Jpeg,0,0,0,0,0,2,0
spaceface777/viano,0,0,0,0,0,0,0
ishanyaa/Digital_Circuits_and_Systems,0,0,0,0,0,0,0
bbnoir/simple_processor,0,0,0,0,0,0,0
NathanJepson/SimpleCPU,0,0,0,0,0,0,0
trinhgiahuy/AI-Accelerator-for-LLM,0,0,0,0,0,0,0
sharukhhasan/SISC_Processor,0,0,0,0,0,0,0
Vjnhere/verilog,0,0,0,0,0,1,0
yisus82/fic-md2,0,0,0,0,0,0,0
jn555/Verified-DMA,0,0,0,0,0,0,0
Jellyfish1102/Final-Project-CPU,0,0,0,0,0,1,0
InnovativeInventor/tree-logics,0,0,0,0,0,0,0
LN57421/CS202-CPU-Design,0,0,0,0,0,0,0
HectorLMF/P1-Estructuras---ALU-verilog,0,0,0,0,0,0,0
ashash126/riscv_project,0,0,0,0,0,0,0
daddydembla007/Ring-Oscillator-PUF,0,0,0,0,0,0,0
SouthernPark/ECE_550_project,0,0,0,0,0,0,0
mzp/GC,0,0,0,0,0,0,0
thais-laura/Sistemas-Digitais,0,0,0,0,0,1,0
RanaMagdy20/Pipeline,0,0,0,0,0,0,0
Ayyappa1911/iiitb_sysarray,0,0,0,0,0,0,0
eltsai/32bit-MIPS-CPU,0,0,0,0,0,0,0
Sharanteja12/High-Speed-64-Bit-Vedic-Multplier,0,0,0,0,0,1,0
coherent17/Single-Cycle-MIPS-CPU,0,0,0,0,0,0,0
bobbae/examples-2021,0,0,0,0,0,0,0
bobbae/ex1,0,0,0,0,0,0,0
Varunkumar0610/RISC-V-Single-Cycle-Core,0,0,0,0,0,0,0
gareththomasnz/RISCV_Single_Cycle_Core,0,0,0,0,0,0,0
Ishan2510/Design-of-32-bit-RISC-V-processor,0,0,0,0,0,0,0
Nagendra-vnb/RISC_V_SINGLE_CYCLE_CORE_MICROARCHITECHTURE,0,0,0,0,0,0,0
Kshitij-21/RISC-Processor,0,0,0,0,0,0,0
takeshineshiro/utrasound_mobile_fpga,0,0,0,0,0,0,0
takeshineshiro/utrasound_fpga_modelsim,0,0,0,0,0,0,0
lkundrak/lpc-uart,0,0,0,0,0,0,0
Wellshh/RISC-V-CPU,0,0,0,0,27,1,0
The-Wallfacer-Plan/coqL,0,0,0,0,0,0,0
clh910936/alu,0,0,0,0,0,0,0
SouthernPark/ECE_550_recitation,0,0,0,0,0,0,0
vlang/v,0,0,0,0,0,0,0
SymbioticEDA/riscv-formal,0,0,0,0,0,0,0
BlockstreamResearch/simplicity,0,0,0,0,0,0,0
L1AS/ELEC374,0,0,53,0,0,1,0
ChFrenkel/tinyODIN,0,0,0,0,0,0,0
rems-project/coq-sail,0,0,0,0,0,0,0
GideonZ/1541ultimate,0,0,0,0,0,0,0
melt-umn/silver,0,0,0,0,0,0,0
thomasrussellmurphy/stx_cookbook,0,0,0,0,0,0,0
pConst/basic_verilog,0,0,0,0,0,0,0
formal-land/coq-of-rust,0,0,0,0,0,0,0
mashnoor/iccd-competition-claude-code,0,0,0,0,0,0,0
mgtm98/pcie5_phy,0,0,0,0,0,0,0
SJTU-PLV/nominal-compcert-popl22-artifact,0,0,0,0,0,0,0
tearflake/symbolverse,0,0,0,0,0,0,0
ToNi3141/RasterIX,0,0,0,0,0,0,0
ryanmacdonald/Ray-Tracing-GPU,0,0,0,0,0,0,0
e-trees/fpga_virtio_devices,0,0,0,0,0,0,0
rocq-community/gaia,0,0,0,0,0,0,0
MiSTer-devel/CoCo3_MiSTer,0,0,0,0,0,0,0
sophiaIC/HolisticSpecifications,0,0,0,0,0,0,0
lac-dcc/chimera,0,0,29,0,8,2,0
google/globalfoundries-pdk-libs-gf180mcu_fd_sc_mcu9t5v0,0,0,0,0,0,0,0
khushikri1398/AI-Algorithm-for-Predicting-Combinational-Logic-Depth-in-RTL-Designs,0,0,0,0,0,0,0
NicolaLino/Pipelined-Processor,0,0,0,0,0,0,0
TAPR/OpenHPSDR-SVN,0,0,0,0,0,0,0
mksaksms/100RTL,0,0,0,0,0,0,0
michg/pyocdriscv32,0,0,0,0,0,0,0
AnthonyVDeCaria/ECE496-FPGA_BlueTooth_App,0,0,0,0,0,0,0
sudgy/math-from-nothing,0,0,0,0,0,0,0
cyyself/cpu232,0,0,0,0,0,0,0
tymmym/software-foundations,0,0,0,0,0,0,0
The-OpenROAD-Project/alpha-release,0,60,166,1,2,1,0
comsec-group/cellift-opentitan,0,0,0,0,0,0,0
eliotw/IBM_PC,0,0,0,0,0,0,0
bweisnicht/ECE554,0,0,0,0,0,0,0
klausnat/coq-of-llvmir,0,0,0,0,0,0,0
Royfor12/CQUT-Course-Guide-Sharing-Scheme,0,0,1,0,1,1,0
Hanley-Yao/Zynq7010_eink_controller,0,0,0,0,0,0,0
yuxguo/USTC-ComputerArchitecture-2020S,0,0,0,0,0,0,0
jsaussereau/AsteRISC-rtl,0,0,0,0,0,0,0
UNO-NULLify/eCTF20,0,0,0,0,0,0,0
kate-omi/MathAlarmClock,0,1,8,0,8,1,0
LampaLab/iota_fpga,0,0,0,0,0,0,0
nguyendaithien/CPU_5stage_pipeline,0,0,0,0,0,1,0
rayhan-shhadeh/VLSI-Design-Verification,2,3,0,0,0,1,0
stanford-ppl/spatial,0,0,0,0,1,1,0
osafune/peridot_peripherals,0,0,0,0,0,0,0
kyzhai/NUNY,0,0,0,0,0,0,0
MuddasirAttar/AXI4_lite_project,0,0,0,0,0,0,0
theseus-cores/theseus-cores,0,0,0,0,1,1,0
suisuisi/FPGAandGames,0,0,4,0,12,1,0
fossi-foundation/skywater-pdk-libs-sky130_fd_sc_hd,0,0,0,0,0,0,0
hansfbaier/mecrisp-quintus,0,0,0,0,0,0,0
everlst/ASIC-PYNQ,0,0,0,0,0,1,0
possientis/Prog,0,0,0,0,0,0,0
beehive-fpga/corundum_copy_old,0,0,0,0,0,0,0
ARM-software/DeepFreeze,0,0,0,0,0,0,0
Shivanagender123/UART-16550,0,0,0,0,0,1,6
qaztronic/AXI4_LIB,0,0,0,0,0,0,0
cdepillabout/software-foundations,0,0,0,0,0,0,0
